ID,STATUS,DATE,TIME
5746,IN,13/04/2022,15:51:47
5746,OUT,13/04/2022,15:52:27
5746,IN,13/04/2022,15:54:35
5746,OUT,13/04/2022,15:56:03
5746,IN,13/04/2022,15:56:35
5746,OUT,13/04/2022,15:57:07
5746,IN,13/04/2022,15:57:55
5746,OUT,13/04/2022,16:09:57
5746,IN,13/04/2022,16:12:21
5746,OUT,13/04/2022,16:12:53
5772,IN,13/04/2022,16:12:58
5746,IN,13/04/2022,16:13:01
5772,OUT,13/04/2022,16:13:11
5746,OUT,13/04/2022,16:13:13
5746,IN,13/04/2022,16:13:45
5746,OUT,13/04/2022,16:14:17
5772,IN,13/04/2022,16:14:27
5746,IN,13/04/2022,16:14:29
5772,OUT,13/04/2022,16:14:59
5746,OUT,13/04/2022,16:15:01
5746,IN,13/04/2022,16:15:34
5746,OUT,13/04/2022,16:16:06
5772,IN,13/04/2022,16:16:11
5746,IN,13/04/2022,16:16:13
5772,OUT,13/04/2022,16:16:16
5746,OUT,13/04/2022,16:16:19
5746,IN,13/04/2022,16:16:50
5772,IN,13/04/2022,16:17:02
5746,OUT,13/04/2022,16:17:04
5746,IN,13/04/2022,16:17:37
5772,OUT,13/04/2022,16:17:41
5746,OUT,13/04/2022,16:17:43
5746,IN,13/04/2022,16:18:15
5746,OUT,13/04/2022,16:18:48
5746,IN,13/04/2022,16:19:19
5746,OUT,13/04/2022,16:19:50
5746,IN,13/04/2022,16:20:39
